dataset,strategy,length_or_k,method,n_train_traces,n_test_traces,n_features,train_matrix_bytes,test_matrix_bytes,encode_time_seconds,encode_time_per_trace_ms,pretrain_time_seconds
datasets/BPI_Challenge_2017.xes,last3,100,Baseline,117,24,3,702,144,0.0059,0.0415,
datasets/BPI_Challenge_2017.xes,last3,100,OHE,117,24,51,4684,940,0.0036,0.0258,
datasets/BPI_Challenge_2017.xes,last3,100,Bigram,117,24,66,61776,12672,0.0028,0.0202,
datasets/BPI_Challenge_2017.xes,last3,100,W2V,117,24,48,22464,4608,0.0004,0.0031,0.0291
datasets/BPI_Challenge_2017.xes,last3,100,D2V,117,24,64,29952,6144,0.0523,0.3711,13.3454
datasets/BPI_Challenge_2017.xes,last3,100,BERT,117,24,128,59904,12288,0.1227,0.8699,10.3699
datasets/BPI_Challenge_2017.xes,last3,100,ACF,117,24,8110,7590960,1557120,0.0029,0.0205,0.9793
datasets/BPI_Challenge_2017.xes,last5,100,Baseline,117,24,5,1170,240,0.0073,0.0521,
datasets/BPI_Challenge_2017.xes,last5,100,OHE,117,24,86,7492,1492,0.005,0.0354,
datasets/BPI_Challenge_2017.xes,last5,100,Bigram,117,24,80,74880,15360,0.0063,0.0444,
datasets/BPI_Challenge_2017.xes,last5,100,W2V,117,24,48,22464,4608,0.0007,0.0051,0.0061
datasets/BPI_Challenge_2017.xes,last5,100,D2V,117,24,64,29952,6144,0.0983,0.6969,20.7317
datasets/BPI_Challenge_2017.xes,last5,100,BERT,117,24,128,59904,12288,0.2283,1.6192,11.766
datasets/BPI_Challenge_2017.xes,last5,100,ACF,117,24,8110,7590960,1557120,0.0108,0.0768,2.1466
datasets/BPI_Challenge_2017.xes,last10,100,Baseline,117,24,10,2340,480,0.0087,0.062,
datasets/BPI_Challenge_2017.xes,last10,100,OHE,117,24,170,14512,2884,0.0062,0.0442,
datasets/BPI_Challenge_2017.xes,last10,100,Bigram,117,24,92,86112,17664,0.0056,0.0397,
datasets/BPI_Challenge_2017.xes,last10,100,W2V,117,24,48,22464,4608,0.0005,0.0038,0.0072
datasets/BPI_Challenge_2017.xes,last10,100,D2V,117,24,64,29952,6144,0.0837,0.5939,33.2242
datasets/BPI_Challenge_2017.xes,last10,100,BERT,117,24,128,59904,12288,0.1857,1.3169,10.3162
datasets/BPI_Challenge_2017.xes,last10,100,ACF,117,24,8110,7590960,1557120,0.0135,0.0956,1.8428
datasets/BPI_Challenge_2017.xes,last20,100,Baseline,117,24,20,4680,960,0.0155,0.1097,
datasets/BPI_Challenge_2017.xes,last20,100,OHE,117,24,355,28552,5656,0.0069,0.0492,
datasets/BPI_Challenge_2017.xes,last20,100,Bigram,117,24,117,109512,22464,0.0055,0.0388,
datasets/BPI_Challenge_2017.xes,last20,100,W2V,117,24,48,22464,4608,0.0004,0.003,0.0091
datasets/BPI_Challenge_2017.xes,last20,100,D2V,117,24,64,29952,6144,0.0668,0.4734,12.964
datasets/BPI_Challenge_2017.xes,last20,100,BERT,117,24,128,59904,12288,0.1412,1.0016,14.1369
datasets/BPI_Challenge_2017.xes,last20,100,ACF,117,24,8110,7590960,1557120,0.01,0.0711,1.2547
datasets/BPI_Challenge_2017.xes,last3,150,Baseline,116,22,3,696,132,0.0035,0.0256,
datasets/BPI_Challenge_2017.xes,last3,150,OHE,116,22,50,4644,872,0.0032,0.0235,
datasets/BPI_Challenge_2017.xes,last3,150,Bigram,116,22,60,55680,10560,0.0034,0.0247,
datasets/BPI_Challenge_2017.xes,last3,150,W2V,116,22,48,22272,4224,0.0005,0.0035,0.0059
datasets/BPI_Challenge_2017.xes,last3,150,D2V,116,22,64,29696,5632,0.0732,0.5305,15.9517
datasets/BPI_Challenge_2017.xes,last3,150,BERT,116,22,128,59392,11264,0.1797,1.3025,9.3227
datasets/BPI_Challenge_2017.xes,last3,150,ACF,116,22,8110,7526080,1427360,0.0065,0.0471,1.5254
datasets/BPI_Challenge_2017.xes,last5,150,Baseline,116,22,5,1160,220,0.0055,0.0395,
datasets/BPI_Challenge_2017.xes,last5,150,OHE,116,22,87,7428,1400,0.0045,0.0328,
datasets/BPI_Challenge_2017.xes,last5,150,Bigram,116,22,77,71456,13552,0.0048,0.0349,
datasets/BPI_Challenge_2017.xes,last5,150,W2V,116,22,48,22272,4224,0.0005,0.0039,0.007
datasets/BPI_Challenge_2017.xes,last5,150,D2V,116,22,64,29696,5632,0.0763,0.5532,123.3549
datasets/BPI_Challenge_2017.xes,last5,150,BERT,116,22,128,59392,11264,0.1843,1.3356,8.727
datasets/BPI_Challenge_2017.xes,last5,150,ACF,116,22,8110,7526080,1427360,0.0081,0.0589,1.6015
datasets/BPI_Challenge_2017.xes,last10,150,Baseline,116,22,10,2320,440,0.0079,0.0571,
datasets/BPI_Challenge_2017.xes,last10,150,OHE,116,22,183,14388,2672,0.0056,0.0407,
datasets/BPI_Challenge_2017.xes,last10,150,Bigram,116,22,98,90944,17248,0.0065,0.047,
datasets/BPI_Challenge_2017.xes,last10,150,W2V,116,22,48,22272,4224,0.0005,0.0039,0.0069
datasets/BPI_Challenge_2017.xes,last10,150,D2V,116,22,64,29696,5632,0.0919,0.6657,13.7489
datasets/BPI_Challenge_2017.xes,last10,150,BERT,116,22,128,59392,11264,0.1838,1.3317,10.1518
datasets/BPI_Challenge_2017.xes,last10,150,ACF,116,22,8110,7526080,1427360,0.0149,0.1083,1.4863
datasets/BPI_Challenge_2017.xes,last20,150,Baseline,116,22,20,4640,880,0.0089,0.0645,
datasets/BPI_Challenge_2017.xes,last20,150,OHE,116,22,355,28308,5216,0.006,0.0437,
datasets/BPI_Challenge_2017.xes,last20,150,Bigram,116,22,112,103936,19712,0.0048,0.0345,
datasets/BPI_Challenge_2017.xes,last20,150,W2V,116,22,48,22272,4224,0.0004,0.0026,0.0096
datasets/BPI_Challenge_2017.xes,last20,150,D2V,116,22,64,29696,5632,0.0636,0.4605,6.4994
datasets/BPI_Challenge_2017.xes,last20,150,BERT,116,22,128,59392,11264,0.1217,0.8819,3.1749
datasets/BPI_Challenge_2017.xes,last20,150,ACF,116,22,8110,7526080,1427360,0.0087,0.0633,0.7472
datasets/BPI_Challenge_2017.xes,last3,200,Baseline,116,22,3,696,132,0.0023,0.0164,
datasets/BPI_Challenge_2017.xes,last3,200,OHE,116,22,50,4644,848,0.0017,0.0121,
datasets/BPI_Challenge_2017.xes,last3,200,Bigram,116,22,69,64032,12144,0.0026,0.0188,
datasets/BPI_Challenge_2017.xes,last3,200,W2V,116,22,48,22272,4224,0.0003,0.0024,0.0054
datasets/BPI_Challenge_2017.xes,last3,200,D2V,116,22,64,29696,5632,0.0498,0.3605,6.0843
datasets/BPI_Challenge_2017.xes,last3,200,BERT,116,22,128,59392,11264,0.1177,0.8526,407.3077
datasets/BPI_Challenge_2017.xes,last3,200,ACF,116,22,8110,7526080,1427360,0.0029,0.0211,0.7837
datasets/BPI_Challenge_2017.xes,last5,200,Baseline,116,22,5,1160,220,0.0045,0.0329,
datasets/BPI_Challenge_2017.xes,last5,200,OHE,116,22,85,7428,1364,0.0037,0.0265,
datasets/BPI_Challenge_2017.xes,last5,200,Bigram,116,22,82,76096,14432,0.0056,0.0405,
