dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,lgbm_colsample_bytree,lgbm_learning_rate,lgbm_max_depth,lgbm_min_child_samples,lgbm_n_estimators,lgbm_num_leaves
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,Baseline,0.7083333333333334,0.6479158166734666,552,144,Success,52.565560817718506,1.0,0.01,-1,20,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,OHE,0.7222222222222222,0.6696738458612657,552,144,Success,32.20244741439819,0.8,0.01,-1,20,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,Bigram,0.7013888888888888,0.6256250447739808,552,144,Success,28.139026880264282,1.0,0.01,-1,20,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,W2V,0.6944444444444444,0.569216757741348,552,144,Success,26.561516284942627,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,D2V,0.7083333333333334,0.599846954392409,552,144,Success,33.74738621711731,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,BERT,0.6875,0.6352929883631638,552,144,Success,44.223081827163696,0.8,0.01,-1,50,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,ACF,0.6875,0.6177659186279876,552,144,Success,41.41172432899475,1.0,0.1,-1,50,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,Baseline,0.7798165137614679,0.7307322269181872,389,109,Success,20.557464838027954,0.8,0.01,-1,20,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,OHE,0.7706422018348624,0.7165701399210701,389,109,Success,21.224131107330322,0.8,0.01,-1,20,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,Bigram,0.7155963302752294,0.5969680616199774,389,109,Success,19.870058059692383,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,W2V,0.7155963302752294,0.5969680616199774,389,109,Success,16.274536609649658,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,D2V,0.6880733944954128,0.583366573593937,389,109,Success,22.37889289855957,1.0,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,BERT,0.6788990825688074,0.6496723460026212,389,109,Success,27.78298044204712,0.8,0.01,10,20,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,ACF,0.7155963302752294,0.5969680616199774,389,109,Success,38.67343735694885,0.8,0.01,-1,50,100,31
