dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,lgbm_colsample_bytree,lgbm_learning_rate,lgbm_max_depth,lgbm_n_estimators,lgbm_subsample
datasets/BPI_Challenge_2017.xes,prefix,100,Baseline,0.5833333333333334,0.5906926406926406,117,24,Success,211.64891123771667,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,100,OHE,0.4166666666666667,0.3952380952380952,117,24,Success,138.01950240135193,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,100,Bigram,0.3333333333333333,0.3412393162393162,117,24,Success,203.12876629829407,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,100,W2V,0.7916666666666666,0.7831196581196581,117,24,Success,196.9509241580963,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,100,D2V,0.20833333333333334,0.22377622377622375,117,24,Success,248.3819739818573,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,100,BERT,0.6666666666666666,0.6549145299145299,117,24,Success,255.5494065284729,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,150,Baseline,0.5714285714285714,0.5387755102040815,116,22,Success,38.975255489349365,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,150,OHE,0.38095238095238093,0.3556998556998557,116,22,Success,27.688292026519775,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,150,Bigram,0.14285714285714285,0.11972789115646258,116,22,Success,38.60788130760193,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,150,W2V,0.9523809523809523,0.9555555555555554,116,22,Success,32.36934232711792,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,150,D2V,0.2727272727272727,0.2290436835891381,116,22,Success,43.59273815155029,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,150,BERT,0.6666666666666666,0.6825396825396826,116,22,Success,49.05083966255188,1.0,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,150,ACF,0.2857142857142857,0.308994708994709,116,22,Success,962.2558953762054,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,200,Baseline,0.38095238095238093,0.35815295815295817,116,22,Success,36.31824779510498,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,200,OHE,0.47619047619047616,0.4106369820655535,116,22,Success,24.029422283172607,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,200,Bigram,0.14285714285714285,0.1470899470899471,116,22,Success,33.16677165031433,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,200,W2V,0.7142857142857143,0.7188208616780045,116,22,Success,27.294458150863647,1.0,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,200,D2V,0.36363636363636365,0.2917748917748918,116,22,Success,37.48438096046448,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,200,BERT,0.5714285714285714,0.5428571428571428,116,22,Success,41.30376625061035,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,200,ACF,0.19047619047619047,0.21428571428571427,116,22,Success,721.4745097160339,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,400,Baseline,0.45454545454545453,0.3924242424242425,113,22,Success,44.407095193862915,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,400,OHE,0.3181818181818182,0.2792207792207792,113,22,Success,25.447149753570557,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,400,Bigram,0.18181818181818182,0.16262626262626262,113,22,Success,38.63592743873596,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,400,W2V,0.8181818181818182,0.7899449035812672,113,22,Success,34.023152589797974,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,400,D2V,0.3181818181818182,0.2665112665112665,113,22,Success,40.8764533996582,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,400,BERT,0.5,0.4056818181818182,113,22,Success,45.26570105552673,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,400,ACF,0.3181818181818182,0.271694214876033,113,22,Success,740.6531610488892,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,600,Baseline,0.5,0.4625,110,21,Success,39.3768994808197,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,600,OHE,0.35,0.28888888888888886,110,21,Success,24.225465059280396,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,600,Bigram,0.25,0.23015873015873015,110,21,Success,32.2858681678772,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,600,W2V,0.75,0.7185714285714286,110,21,Success,25.74161171913147,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,600,D2V,0.2857142857142857,0.24814814814814815,110,21,Success,32.730393409729004,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,600,BERT,0.6,0.5666666666666667,110,21,Success,36.20707559585571,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,600,ACF,0.15,0.12571428571428572,110,21,Success,600.4517931938171,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,800,Baseline,0.5,0.47380952380952374,106,21,Success,43.893569469451904,1.0,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,800,OHE,0.35,0.3511111111111111,106,21,Success,26.921865940093994,1.0,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,800,Bigram,0.25,0.2,106,21,Success,32.23283505439758,1.0,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,800,W2V,0.65,0.595,106,21,Success,27.441216468811035,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,800,D2V,0.14285714285714285,0.12482993197278909,106,21,Success,33.08398461341858,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,800,BERT,0.4,0.40523809523809523,106,21,Success,37.676960468292236,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,800,ACF,0.3,0.20384615384615384,106,21,Success,564.5008940696716,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,1000,Baseline,0.5238095238095238,0.40708101422387133,103,21,Success,44.62554454803467,1.0,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,1000,OHE,0.38095238095238093,0.3412698412698413,103,21,Success,24.090173959732056,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,1000,Bigram,0.3333333333333333,0.3222943722943723,103,21,Success,30.995301723480225,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,1000,W2V,0.7142857142857143,0.7217412217412217,103,21,Success,24.96478581428528,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,1000,D2V,0.3333333333333333,0.3197278911564626,103,21,Success,32.21805953979492,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,1000,BERT,0.7142857142857143,0.7023809523809523,103,21,Success,35.73811888694763,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,1000,ACF,0.3333333333333333,0.2631868131868132,103,21,Success,542.8914654254913,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,1200,Baseline,0.5263157894736842,0.4290726817042606,100,21,Success,45.80397415161133,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,1200,OHE,0.3684210526315789,0.28367684946632316,100,21,Success,23.66733717918396,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,1200,Bigram,0.3684210526315789,0.3023923444976077,100,21,Success,28.038618803024292,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,1200,W2V,0.8947368421052632,0.8526315789473684,100,21,Success,23.33241605758667,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,1200,D2V,0.2857142857142857,0.24511599511599513,100,21,Success,29.939939498901367,0.8,0.05,-1,50,0.8
