dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,rf_max_depth,rf_max_features,rf_min_samples_leaf,rf_min_samples_split,rf_n_estimators
datasets/BPI_Challenge_2019.xes,prefix,100,Baseline,0.90625,0.8818780016599784,258,65,Success,14.075250625610352,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,100,OHE,0.90625,0.8758121101871101,258,65,Success,5.445289850234985,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,100,Bigram,0.90625,0.8758121101871101,258,65,Success,5.057336091995239,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,prefix,100,W2V,0.953125,0.9520495129870129,258,65,Success,4.824068784713745,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,prefix,100,D2V,0.8923076923076924,0.8518916980455442,258,65,Success,5.446823835372925,10,log2,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,100,BERT,0.96875,0.9600852272727273,258,65,Success,5.326797962188721,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,prefix,100,ACF,0.921875,0.905878398065898,258,65,Success,9.456996202468872,10,log2,1,5,200
datasets/BPI_Challenge_2019.xes,prefix,150,Baseline,0.9464285714285714,0.9545387922610905,233,57,Success,4.58934211730957,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,150,OHE,0.9464285714285714,0.9443779259955731,233,57,Success,5.039529085159302,10,log2,2,2,200
datasets/BPI_Challenge_2019.xes,prefix,150,Bigram,0.9464285714285714,0.9443779259955731,233,57,Success,4.47419810295105,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,prefix,150,W2V,0.9642857142857143,0.9615800865800866,233,57,Success,4.510977029800415,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,150,D2V,0.8596491228070176,0.8366454094008273,233,57,Success,5.136693239212036,10,log2,2,5,100
datasets/BPI_Challenge_2019.xes,prefix,150,BERT,0.9464285714285714,0.9468557190317988,233,57,Success,4.766119956970215,10,sqrt,2,5,100
datasets/BPI_Challenge_2019.xes,prefix,150,ACF,0.9642857142857143,0.9645244461420932,233,57,Success,7.973931312561035,10,log2,2,2,100
datasets/BPI_Challenge_2019.xes,prefix,200,Baseline,0.92,0.8903529411764706,215,51,Success,4.543952941894531,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,200,OHE,0.9,0.8724444444444444,215,51,Success,5.103830814361572,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,200,Bigram,0.9,0.8714805194805194,215,51,Success,4.3697638511657715,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,prefix,200,W2V,0.96,0.9478431372549019,215,51,Success,4.536734580993652,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,200,D2V,0.803921568627451,0.7465319991271548,215,51,Success,5.573349952697754,10,log2,2,2,200
datasets/BPI_Challenge_2019.xes,prefix,200,BERT,0.92,0.8925714285714286,215,51,Success,5.0590033531188965,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,prefix,200,ACF,0.88,0.8643440860215054,215,51,Success,7.1270225048065186,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,300,Baseline,0.9090909090909091,0.8797979797979797,185,46,Success,4.554879426956177,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,prefix,300,OHE,0.9090909090909091,0.8797979797979797,185,46,Success,4.895548105239868,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,prefix,300,Bigram,0.8636363636363636,0.8395517676767678,185,46,Success,4.4212915897369385,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,300,W2V,0.9318181818181818,0.9012539184952978,185,46,Success,4.252671957015991,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,prefix,300,D2V,0.8043478260869565,0.7705742366911782,185,46,Success,4.438248157501221,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,300,BERT,0.9090909090909091,0.9181818181818181,185,46,Success,4.541454315185547,10,sqrt,2,5,200
datasets/BPI_Challenge_2019.xes,prefix,300,ACF,0.8636363636363636,0.8395517676767678,185,46,Success,6.7779505252838135,10,log2,2,5,100
datasets/BPI_Challenge_2019.xes,prefix,400,Baseline,0.9047619047619048,0.8832147418354314,168,43,Success,4.286541223526001,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,prefix,400,OHE,0.9047619047619048,0.8832147418354314,168,43,Success,4.840169906616211,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,400,Bigram,0.9285714285714286,0.9068953746373102,168,43,Success,4.125504970550537,20,log2,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,400,W2V,0.9523809523809523,0.9301587301587301,168,43,Success,4.416815757751465,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,400,D2V,0.8604651162790697,0.8296700611934593,168,43,Success,4.4283974170684814,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,400,BERT,0.9523809523809523,0.9523809523809523,168,43,Success,4.315418720245361,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,400,ACF,0.9047619047619048,0.8832147418354314,168,43,Success,6.34925103187561,10,sqrt,2,5,200
datasets/BPI_Challenge_2019.xes,prefix,500,Baseline,0.8717948717948718,0.8410256410256409,149,40,Success,4.232833623886108,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,500,OHE,0.8461538461538461,0.8068376068376069,149,40,Success,5.015921354293823,10,sqrt,2,5,200
datasets/BPI_Challenge_2019.xes,prefix,500,Bigram,0.8205128205128205,0.7825067240451856,149,40,Success,4.170853137969971,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,500,W2V,0.9487179487179487,0.927960927960928,149,40,Success,4.024392604827881,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,500,D2V,0.8,0.750944055944056,149,40,Success,4.385214328765869,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,prefix,500,BERT,0.9230769230769231,0.8896321070234114,149,40,Success,4.365507364273071,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,prefix,500,ACF,0.8717948717948718,0.8321678321678322,149,40,Success,5.913327217102051,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,prefix,600,Baseline,0.972972972972973,0.95995995995996,143,38,Success,4.158677577972412,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,600,OHE,0.9459459459459459,0.9324324324324325,143,38,Success,4.86918568611145,10,log2,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,600,Bigram,0.8918918918918919,0.8677691691184943,143,38,Success,4.0611252784729,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,600,W2V,0.972972972972973,0.95995995995996,143,38,Success,3.9488449096679688,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,prefix,600,D2V,0.8421052631578947,0.7958077010708591,143,38,Success,4.213287591934204,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,prefix,600,BERT,0.972972972972973,0.95995995995996,143,38,Success,4.141029596328735,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,600,ACF,0.9459459459459459,0.9324324324324325,143,38,Success,5.8629724979400635,10,log2,1,5,100
datasets/BPI_Challenge_2019.xes,prefix,700,Baseline,0.8857142857142857,0.8343945578231293,135,36,Success,4.30394434928894,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,700,OHE,0.8857142857142857,0.8343945578231293,135,36,Success,4.8029022216796875,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,700,Bigram,0.8571428571428571,0.7928361162646876,135,36,Success,4.093714237213135,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,700,W2V,0.8857142857142857,0.8732919254658386,135,36,Success,4.170675039291382,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,700,D2V,0.8055555555555556,0.7379227053140096,135,36,Success,4.775935888290405,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,700,BERT,0.8857142857142857,0.8732919254658386,135,36,Success,4.478846788406372,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,700,ACF,0.8571428571428571,0.8197278911564626,135,36,Success,6.3314573764801025,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,prefix,800,Baseline,0.9142857142857143,0.9015873015873016,122,36,Success,4.501216888427734,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,prefix,800,OHE,0.9142857142857143,0.9015873015873016,122,36,Success,5.672704219818115,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,800,Bigram,0.9142857142857143,0.888373531230674,122,36,Success,4.706547021865845,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,800,W2V,0.9428571428571428,0.9595238095238093,122,36,Success,4.198704719543457,10,log2,2,5,100
datasets/BPI_Challenge_2019.xes,prefix,800,D2V,0.8888888888888888,0.8765432098765432,122,36,Success,4.6618547439575195,10,log2,2,5,200
datasets/BPI_Challenge_2019.xes,prefix,800,BERT,0.8857142857142857,0.9118911564625849,122,36,Success,4.361394166946411,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,prefix,800,ACF,0.9142857142857143,0.9134693877551019,122,36,Success,5.79045844078064,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,100,Baseline,0.953125,0.9460227272727273,258,65,Success,4.042434453964233,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last3,100,OHE,0.953125,0.9556876384274638,258,65,Success,4.330461025238037,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last3,100,Bigram,0.9375,0.9232142857142858,258,65,Success,4.309032440185547,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last3,100,W2V,0.953125,0.9556876384274638,258,65,Success,4.203413963317871,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last3,100,D2V,0.9230769230769231,0.9135801981501597,258,65,Success,4.847463607788086,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last3,100,BERT,0.96875,0.9600852272727273,258,65,Success,4.5306596755981445,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last3,100,ACF,0.9375,0.9333575581395348,258,65,Success,12.16413927078247,10,sqrt,2,5,100
datasets/BPI_Challenge_2019.xes,last5,100,Baseline,0.953125,0.9390625,258,65,Success,4.105720043182373,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last5,100,OHE,0.96875,0.9616477272727273,258,65,Success,4.387889385223389,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last5,100,Bigram,0.9375,0.9080236486486487,258,65,Success,4.298648118972778,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last5,100,W2V,0.953125,0.9556876384274638,258,65,Success,4.47643256187439,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last5,100,D2V,0.9076923076923077,0.8878031878031878,258,65,Success,4.9140541553497314,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last5,100,BERT,0.953125,0.9390625,258,65,Success,4.454768180847168,10,log2,2,5,100
datasets/BPI_Challenge_2019.xes,last5,100,ACF,0.953125,0.9385227272727272,258,65,Success,11.693857431411743,10,log2,2,5,100
datasets/BPI_Challenge_2019.xes,last10,100,Baseline,0.9375,0.9089673913043478,258,65,Success,4.7845494747161865,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last10,100,OHE,0.9375,0.915625,258,65,Success,4.580000162124634,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last10,100,Bigram,0.9375,0.9264204545454545,258,65,Success,4.651810169219971,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last10,100,W2V,0.953125,0.9556876384274638,258,65,Success,4.494310617446899,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last10,100,D2V,0.9076923076923077,0.8726045883940621,258,65,Success,5.643448114395142,10,log2,2,5,200
datasets/BPI_Challenge_2019.xes,last10,100,BERT,0.96875,0.9600852272727273,258,65,Success,5.082268953323364,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last10,100,ACF,0.921875,0.9001704545454545,258,65,Success,11.843311548233032,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last20,100,Baseline,0.9375,0.9150852272727272,258,65,Success,5.127335548400879,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last20,100,OHE,0.9375,0.9089673913043478,258,65,Success,4.811861991882324,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last20,100,Bigram,0.921875,0.8945573708206687,258,65,Success,4.484872341156006,20,log2,1,5,100
datasets/BPI_Challenge_2019.xes,last20,100,W2V,0.9375,0.9379870129870129,258,65,Success,4.4884326457977295,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last20,100,D2V,0.9538461538461539,0.9400000000000001,258,65,Success,5.453162908554077,10,log2,1,5,200
datasets/BPI_Challenge_2019.xes,last20,100,BERT,0.953125,0.9450892857142856,258,65,Success,5.415683269500732,10,log2,2,2,200
datasets/BPI_Challenge_2019.xes,last20,100,ACF,0.921875,0.8945573708206687,258,65,Success,11.846275329589844,10,log2,1,5,200
datasets/BPI_Challenge_2019.xes,last3,150,Baseline,0.9642857142857143,0.9615800865800866,233,57,Success,4.22522497177124,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,150,OHE,0.9821428571428571,0.9822150072150072,233,57,Success,4.293354511260986,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,150,Bigram,0.9642857142857143,0.9701400464097788,233,57,Success,4.189480304718018,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,150,W2V,0.9821428571428571,0.9822150072150072,233,57,Success,4.33119535446167,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last3,150,D2V,0.9298245614035088,0.9276980329611908,233,57,Success,4.937802314758301,10,log2,2,5,100
datasets/BPI_Challenge_2019.xes,last3,150,BERT,0.9642857142857143,0.9642697988286224,233,57,Success,5.061758279800415,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last3,150,ACF,0.9464285714285714,0.9523650369238605,233,57,Success,13.662751913070679,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last5,150,Baseline,0.9642857142857143,0.9621615312791783,233,57,Success,4.078154563903809,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last5,150,OHE,0.9821428571428571,0.9822150072150072,233,57,Success,4.6010496616363525,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last5,150,Bigram,0.9464285714285714,0.9520562770562772,233,57,Success,4.193148851394653,10,log2,1,5,200
datasets/BPI_Challenge_2019.xes,last5,150,W2V,0.9642857142857143,0.9615800865800866,233,57,Success,4.293785572052002,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last5,150,D2V,0.9298245614035088,0.9280190970593448,233,57,Success,4.669661998748779,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last5,150,BERT,0.9821428571428571,0.9822150072150072,233,57,Success,5.231419324874878,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last5,150,ACF,0.9464285714285714,0.9607683982683983,233,57,Success,13.123516321182251,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last10,150,Baseline,0.9642857142857143,0.9615800865800866,233,57,Success,4.6117706298828125,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last10,150,OHE,0.9821428571428571,0.9821428571428573,233,57,Success,5.145389556884766,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last10,150,Bigram,0.9821428571428571,0.9821428571428573,233,57,Success,6.136663913726807,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last10,150,W2V,0.9642857142857143,0.9615800865800866,233,57,Success,4.517440557479858,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last10,150,D2V,0.9122807017543859,0.9016607016080043,233,57,Success,6.007664442062378,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last10,150,BERT,0.9821428571428571,0.9822150072150072,233,57,Success,5.33623194694519,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last10,150,ACF,0.9642857142857143,0.9643578643578643,233,57,Success,11.442538976669312,10,log2,2,5,100
datasets/BPI_Challenge_2019.xes,last20,150,Baseline,0.9642857142857143,0.9702380952380952,233,57,Success,6.1316258907318115,20,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last20,150,OHE,1.0,1.0,233,57,Success,5.1336510181427,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last20,150,Bigram,1.0,1.0,233,57,Success,4.702335834503174,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last20,150,W2V,0.9821428571428571,0.9822150072150072,233,57,Success,4.382292032241821,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last20,150,D2V,0.9122807017543859,0.9108724191430958,233,57,Success,5.884049415588379,10,log2,2,2,200
datasets/BPI_Challenge_2019.xes,last20,150,BERT,0.9821428571428571,0.9822150072150072,233,57,Success,4.97404146194458,10,sqrt,2,5,100
datasets/BPI_Challenge_2019.xes,last20,150,ACF,0.9642857142857143,0.972926267281106,233,57,Success,9.884560823440552,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,last3,200,Baseline,0.94,0.9114795008912657,215,51,Success,4.825869798660278,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,200,OHE,0.94,0.9114795008912657,215,51,Success,4.559105634689331,20,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,200,Bigram,0.94,0.9114795008912657,215,51,Success,4.512301445007324,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last3,200,W2V,0.94,0.9114795008912657,215,51,Success,4.475659370422363,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,200,D2V,0.8823529411764706,0.8554791613615143,215,51,Success,4.984339475631714,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,200,BERT,0.94,0.9114795008912657,215,51,Success,4.756116151809692,10,sqrt,2,5,100
datasets/BPI_Challenge_2019.xes,last3,200,ACF,0.94,0.9114795008912657,215,51,Success,13.1324782371521,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last5,200,Baseline,0.94,0.9114795008912657,215,51,Success,4.710588455200195,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last5,200,OHE,0.94,0.9114795008912657,215,51,Success,5.04311728477478,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last5,200,Bigram,0.94,0.9125714285714285,215,51,Success,5.178713083267212,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,last5,200,W2V,0.94,0.9114795008912657,215,51,Success,4.3728156089782715,20,log2,1,2,100
datasets/BPI_Challenge_2019.xes,last5,200,D2V,0.9215686274509803,0.8846597462514417,215,51,Success,6.2386486530303955,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last5,200,BERT,0.94,0.9206060606060606,215,51,Success,4.587895393371582,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last5,200,ACF,0.92,0.9023529411764706,215,51,Success,19.22317862510681,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last10,200,Baseline,0.94,0.9114795008912657,215,51,Success,4.371106386184692,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last10,200,OHE,0.94,0.9114795008912657,215,51,Success,4.512319803237915,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last10,200,Bigram,0.92,0.9023529411764706,215,51,Success,4.524438142776489,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,last10,200,W2V,0.94,0.9114795008912657,215,51,Success,5.165896415710449,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last10,200,D2V,0.9019607843137255,0.8671023965141612,215,51,Success,5.948415517807007,10,log2,1,5,100
datasets/BPI_Challenge_2019.xes,last10,200,BERT,0.94,0.9206060606060606,215,51,Success,4.8931803703308105,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last10,200,ACF,0.94,0.9125714285714285,215,51,Success,12.926320552825928,10,log2,2,5,100
datasets/BPI_Challenge_2019.xes,last20,200,Baseline,0.94,0.9125714285714285,215,51,Success,5.338691473007202,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last20,200,OHE,0.94,0.9125714285714285,215,51,Success,4.833790302276611,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last20,200,Bigram,0.94,0.9125714285714285,215,51,Success,4.558988571166992,20,log2,1,5,100
datasets/BPI_Challenge_2019.xes,last20,200,W2V,0.94,0.9114795008912657,215,51,Success,4.706998348236084,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last20,200,D2V,0.8823529411764706,0.8571428571428572,215,51,Success,6.21207070350647,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last20,200,BERT,0.94,0.9114795008912657,215,51,Success,5.5098419189453125,10,log2,1,5,200
datasets/BPI_Challenge_2019.xes,last20,200,ACF,0.94,0.9125714285714285,215,51,Success,12.478073120117188,10,log2,2,2,100
datasets/BPI_Challenge_2019.xes,last3,300,Baseline,0.9318181818181818,0.9318181818181818,185,46,Success,4.05652379989624,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,300,OHE,0.9318181818181818,0.9012539184952978,185,46,Success,4.331382989883423,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last3,300,Bigram,0.9318181818181818,0.9012539184952978,185,46,Success,4.261574745178223,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last3,300,W2V,0.9318181818181818,0.9012539184952978,185,46,Success,4.845360517501831,10,log2,2,2,200
datasets/BPI_Challenge_2019.xes,last3,300,D2V,0.8478260869565217,0.8020244520945784,185,46,Success,5.675953388214111,10,log2,2,5,200
datasets/BPI_Challenge_2019.xes,last3,300,BERT,0.9090909090909091,0.8806940371456501,185,46,Success,4.898897171020508,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last3,300,ACF,0.9090909090909091,0.8806940371456501,185,46,Success,11.63244080543518,10,log2,2,2,100
datasets/BPI_Challenge_2019.xes,last5,300,Baseline,0.8863636363636364,0.8973607038123167,185,46,Success,4.323816299438477,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last5,300,OHE,0.9090909090909091,0.8806940371456501,185,46,Success,4.563214302062988,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last5,300,Bigram,0.9090909090909091,0.8806940371456501,185,46,Success,4.684822082519531,10,log2,1,2,100
datasets/BPI_Challenge_2019.xes,last5,300,W2V,0.9318181818181818,0.9012539184952978,185,46,Success,4.3357932567596436,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last5,300,D2V,0.8695652173913043,0.8270950210378681,185,46,Success,4.6749958992004395,10,sqrt,2,5,200
datasets/BPI_Challenge_2019.xes,last5,300,BERT,0.8863636363636364,0.8599217986314762,185,46,Success,4.340842008590698,10,log2,2,2,100
datasets/BPI_Challenge_2019.xes,last5,300,ACF,0.9090909090909091,0.8806940371456501,185,46,Success,10.90891432762146,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last10,300,Baseline,0.8863636363636364,0.8864718614718615,185,46,Success,4.10091757774353,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last10,300,OHE,0.9090909090909091,0.8806940371456501,185,46,Success,4.246509790420532,20,log2,1,5,100
datasets/BPI_Challenge_2019.xes,last10,300,Bigram,0.8863636363636364,0.8778801843317972,185,46,Success,4.124863147735596,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last10,300,W2V,0.9318181818181818,0.9012539184952978,185,46,Success,4.33260703086853,10,sqrt,2,2,200
datasets/BPI_Challenge_2019.xes,last10,300,D2V,0.8478260869565217,0.8081686429512516,185,46,Success,4.537055969238281,10,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last10,300,BERT,0.8863636363636364,0.8599217986314762,185,46,Success,4.529315233230591,10,sqrt,2,5,100
datasets/BPI_Challenge_2019.xes,last10,300,ACF,0.9090909090909091,0.8806940371456501,185,46,Success,10.769321918487549,10,sqrt,1,5,200
datasets/BPI_Challenge_2019.xes,last20,300,Baseline,0.9090909090909091,0.8819479556409479,185,46,Success,4.588648796081543,10,sqrt,1,2,200
datasets/BPI_Challenge_2019.xes,last20,300,OHE,0.9090909090909091,0.8895237132167054,185,46,Success,4.937514066696167,20,sqrt,1,2,100
datasets/BPI_Challenge_2019.xes,last20,300,Bigram,0.8863636363636364,0.8598077549690454,185,46,Success,4.637765645980835,10,sqrt,1,5,100
datasets/BPI_Challenge_2019.xes,last20,300,W2V,0.9318181818181818,0.9012539184952978,185,46,Success,4.653058052062988,10,sqrt,2,2,100
datasets/BPI_Challenge_2019.xes,last20,300,D2V,0.8043478260869565,0.7702188121625462,185,46,Success,4.958178997039795,20,log2,1,2,100
datasets/BPI_Challenge_2019.xes,last20,300,BERT,0.8863636363636364,0.8681818181818183,185,46,Success,4.995070934295654,10,sqrt,1,5,100
