dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,input_dim,use_embedding,lstm_input_shape,status,train_time
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,Baseline,0.7083333333333334,0.599846954392409,552,144,4,True,"(552, 10)",Success,9.184710025787354
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,Baseline,0.7152777777777778,0.6139368521245111,552,144,4,True,"(552, 10)",Success,7.317461729049683
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,OHE,0.7152777777777778,0.6139368521245111,552,144,3,False,"(552, 10, 3)",Success,7.528662919998169
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,Bigram,,,552,144,,,,"Error: (slice(None, None, None), None, slice(None, None, None))"
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,W2V,0.6944444444444444,0.569216757741348,552,144,16,False,"(552, 10, 16)",Success,4.947627067565918
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,D2V,0.7083333333333334,0.599846954392409,552,144,64,False,"(552, 10, 64)",Success,7.301625967025757
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,BERT,0.6944444444444444,0.569216757741348,552,144,128,False,"(552, 10, 128)",Success,4.401170492172241
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,ACF,0.6944444444444444,0.569216757741348,552,144,381,False,"(552, 10, 381)",Success,4.779548645019531
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,Baseline,0.7247706422018348,0.6168581344668944,389,109,3,True,"(389, 20)",Success,5.49614953994751
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,OHE,,,389,109,,,,"Error: cannot reshape array of size 22951 into shape (389,20,2)"
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,Bigram,,,389,109,,,,"Error: (slice(None, None, None), None, slice(None, None, None))"
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,W2V,0.7155963302752294,0.5969680616199774,389,109,16,False,"(389, 20, 16)",Success,3.6876003742218018
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,D2V,0.7064220183486238,0.5924829831311038,389,109,64,False,"(389, 20, 64)",Success,4.925477743148804
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,BERT,0.7155963302752294,0.5969680616199774,389,109,128,False,"(389, 20, 128)",Success,3.7129573822021484
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,ACF,0.6972477064220184,0.5879494173072155,389,109,381,False,"(389, 20, 381)",Success,5.487594842910767
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,Baseline,0.6744186046511628,0.5432816537467701,310,86,3,True,"(310, 30)",Success,5.3580076694488525
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,OHE,,,310,86,,,,"Error: cannot reshape array of size 27590 into shape (310,30,2)"
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,Bigram,,,310,86,,,,"Error: (slice(None, None, None), None, slice(None, None, None))"
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,W2V,0.6744186046511628,0.5432816537467701,310,86,16,False,"(310, 30, 16)",Success,7.052889347076416
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,D2V,0.6744186046511628,0.5432816537467701,310,86,64,False,"(310, 30, 64)",Success,5.04267430305481
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,BERT,0.6744186046511628,0.5432816537467701,310,86,128,False,"(310, 30, 128)",Success,4.095524787902832
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,ACF,0.6744186046511628,0.5432816537467701,310,86,381,False,"(310, 30, 381)",Success,8.534891366958618
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,Baseline,0.6486486486486487,0.5253517980790707,263,74,3,True,"(263, 40)",Success,7.743088960647583
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,OHE,,,263,74,,,,"Error: cannot reshape array of size 31297 into shape (263,40,2)"
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,Bigram,,,263,74,,,,"Error: (slice(None, None, None), None, slice(None, None, None))"
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,W2V,0.6621621621621622,0.5275763568446495,263,74,16,False,"(263, 40, 16)",Success,7.35192346572876
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,D2V,0.6621621621621622,0.5275763568446495,263,74,64,False,"(263, 40, 64)",Success,5.952038288116455
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,BERT,0.6621621621621622,0.5275763568446495,263,74,128,False,"(263, 40, 128)",Success,4.243149280548096
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,ACF,0.6621621621621622,0.5275763568446495,263,74,381,False,"(263, 40, 381)",Success,10.067871570587158
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,Baseline,0.7166666666666667,0.6571095571095571,231,60,3,True,"(231, 50)",Success,6.378820419311523
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,OHE,,,231,60,,,,"Error: cannot reshape array of size 34419 into shape (231,50,2)"
